IssueID,Issue,Participant ID,If get critized,If critized others,Comments,"1 (not at all specific to VA systems, e.g., generic paper-writing issues) to 7 (extremely specific to VA systems)",Do you think this problem is related to others?
17,Unclear rationale and insufficient justifications of visual designs,8,Y,Y,,7,
18,Problematic visual designs,8,Y,Y,Color accessibility.,6,
19,Missing discussions about alternative designs,8,N,Y,,5,
20,Over-complicated visual designs,8,N,N,"It might be because readers do not understand. When writing, we can starting from existing designs and discussing the adjustments.",7,
21,Lacking workflow overviews or system demonstration,8,N,N,,7,
22,Uncertainty/stability/sensibility,8,N,N,Some cases in the case studies can be uncertain.,6,
23,Scalability,8,Y,Y,It needs discussion.,5,
24,Generalizability,8,Y,N,,6,
25,Usability,8,N,N,,6,
26,Evaluations are incomplete and insufficient,8,Y,N,Try to find more experts and collect more feedback to cover more perspectives.,7,
27,Unclear evaluation methods and protocols,8,N,N,Minor issues.,7,
28,Lacking realism,8,N,Y,Evaluating with real experts is a must.,5,
29,Lacking comparison with baseline approaches,8,Y,N,Can any component in the VA systems be automated?,2,
30,Lacking quantitative evaluation and feedback,8,N,N,,4,
31,Insights are suspicious or not new,8,N,N,,7,
32,Unclear interpretation of expert feedback,8,N,N,Information needs to be valuable to the readers as well.,7,
33,Insufficient discussions on limitations and implications,8,Y,N,,3,
34,Various presentation issues,8,Y,Y,,2,
35,Ethics,8,N,N,,2,
36,Open-source,8,N,N,,1,
1,Lacking arcs of coherence and consistency,9,N,Y,,1,
2,Unclear relevance to visual analytics,9,Y,N,"If automated methods are good enough, we do not involve humans and do not need VA systems.",6,
3,Unclear/over-claimed contributions,9,Y,Y,,1,
4,Unclear contributions to the visualization community,9,N,N,I prefer not to raise such questions.,4,
5,Unclear novelty of VA systems,9,N,N,,7,
6,Missing related work,9,N,N,,1,
7,Inadequate discussion about related work,9,N,Y,This information also helps understand the contributions.,1,
8,Unclear domain experts or target users,9,N,N,Their background should be explained.,5,
9,Unclear methodology and methods for problem abstraction,9,N,N,,3,
10,Insufficient abstraction,9,N,N,,3,
11,Unclear definitions and explanations of data,9,N,N,,1,
12,Missing technical details,9,Y,Y,Minor issues.,1,
13,Novel data processing algorithms,9,N,N,,4,
14,Unclear justifications of algorithms/models,9,Y,Y,I sometimes become confused if the SOTA methods are not used without providing justifications. ,4,
15,Missing details and insufficient explanations of visual designs,9,N,N,Sometimes I have difficulties understanding visual encoding even when reading published papers.,4,
16,Unclear novelty of visual design,9,N,N,I do not require novelty as long as the visual design is useful.,5,
17,Unclear rationale and insufficient justifications of visual designs,9,N,Y,The visual design should support the analytical tasks.,4,
18,Problematic visual designs,9,N,N,,4,
19,Missing discussions about alternative designs,9,N,Y,I will raise concerns on alternative designs when visual designs are listed as a contribution.,4,
20,Over-complicated visual designs,9,N,N,It is also related to experts' visualization knowledge. ,5,
21,Lacking workflow overviews or system demonstration,9,N,N,,3,
22,Uncertainty/stability/sensibility,9,N,N,,3,
23,Scalability,9,Y,N,Buffer storage.,2,
24,Generalizability,9,Y,N,Can the system work for another dataset?,2,
25,Usability,9,N,Y,,6,
26,Evaluations are incomplete and insufficient,9,N,N,,1,
27,Unclear evaluation methods and protocols,9,N,N,Minor issues.,1,
28,Lacking realism,9,N,Y,,5,
29,Lacking comparison with baseline approaches,9,N,N,,5,
30,Lacking quantitative evaluation and feedback,9,N,Y,We need more evidence to show the usefulness of VA systems. A weakness in many submissions,3,
31,Insights are suspicious or not new,9,N,Y,,5,
32,Unclear interpretation of expert feedback,9,N,N,,5,
33,Insufficient discussions on limitations and implications,9,Y,Y,I am more interested in what the system cannot do.,1,
34,Various presentation issues,9,Y,Y,,1,
35,Ethics,9,N,N,,1,
36,Open-source,9,N,N,,2,
1,Lacking arcs of coherence and consistency,10,N,N,,1,
2,Unclear relevance to visual analytics,10,Y,N,This can be shown in the evaluation as well. Comparing with automated methods to show VA is helpful indeed.,6,
3,Unclear/over-claimed contributions,10,N,N,,1,
4,Unclear contributions to the visualization community,10,N,N,Domain experts might not like complex designs. What is important is usually the system interactions. ,5,
5,Unclear novelty of VA systems,10,N,N,,6,
6,Missing related work,10,N,Y,,1,
7,Inadequate discussion about related work,10,N,Y,There needs a qualitative comparison with closely related systems.,1,
8,Unclear domain experts or target users,10,N,N,Can explain in several sentences at the beginning.,7,
9,Unclear methodology and methods for problem abstraction,10,N,N,,6,
10,Insufficient abstraction,10,N,N,,7,
11,Unclear definitions and explanations of data,10,N,N,,4,
12,Missing technical details,10,Y,Y,"Some algorithms are difficult to understand, impacting reproducibility.",2,
13,Novel data processing algorithms,10,N,N,,4,
14,Unclear justifications of algorithms/models,10,N,Y,I raise concerns when I think the algorithm is not the best fit.,5,
15,Missing details and insufficient explanations of visual designs,10,N,N,,5,
16,Unclear novelty of visual design,10,N,N,"The judgment can be quite subjective since there lacks a database of existing visual designs. Our field has explored the design space much, and there does not leave much space for novel designs. Some novel designs are rather incremental.",5,
17,Unclear rationale and insufficient justifications of visual designs,10,Y,N,I raise concerns when I think there are better methods.,5,
18,Problematic visual designs,10,N,Y,The design cannot violate well-known design rules without justifications.,5,
19,Missing discussions about alternative designs,10,Y,N,We should add discussions about how the design choices are made.,5,
20,Over-complicated visual designs,10,N,N,Sometimes it can be the system that is too complex.,5,
21,Lacking workflow overviews or system demonstration,10,N,N,,7,
22,Uncertainty/stability/sensibility,10,N,Y,,7,
23,Scalability,10,Y,N,,6,
24,Generalizability,10,Y,N,Can the system work for different data types?,6,
25,Usability,10,N,N,,7,
26,Evaluations are incomplete and insufficient,10,N,N,,3,
27,Unclear evaluation methods and protocols,10,Y,N,,6,
28,Lacking realism,10,N,N,,7,
29,Lacking comparison with baseline approaches,10,Y,Y,We might consider the VA system against one with a simple interface.,3,
30,Lacking quantitative evaluation and feedback,10,N,N,,3,
31,Insights are suspicious or not new,10,N,N,,6,
32,Unclear interpretation of expert feedback,10,Y,N,,7,
33,Insufficient discussions on limitations and implications,10,Y,Y,There should be some lessons useful for the visualization community.,6,
34,Various presentation issues,10,Y,Y,,1,
35,Ethics,10,N,N,Medical scenarios.,1,
36,Open-source,10,N,N,,1,
1,Lacking arcs of coherence and consistency,11,N,Y,,3,
2,Unclear relevance to visual analytics,11,N,N,,7,
3,Unclear/over-claimed contributions,11,Y,Y,"Particular for the generalizability of visual design, which is often over-claimed.",2,
4,Unclear contributions to the visualization community,11,Y,Y,"Very tricky problem. Refer to Pitfalls in Tamara's paper. Many VA systems are not open-sourced, limiting their impacts. CV/CG domain open sources their codes.
Many works summarize the domain problem, which can be a contribution.",6,
5,Unclear novelty of VA systems,11,N,N,"Design study does not need new designs, but reviewers expect novel visualization design. I also expect new designs. Solving domain problems only might bring limited value to readers. ",7,Related to contributions.
6,Missing related work,11,Y,N,Minor issues.,1,
7,Inadequate discussion about related work,11,N,Y,,2,
8,Unclear domain experts or target users,11,Y,Y,"This is a big problem. Without a clear definition of users, the design requirements and evaluation can be  problematic. It also impacts the design of evaluations.",6,
9,Unclear methodology and methods for problem abstraction,11,Y,N,"This is a problem. Writing this part can take much time, especially for a new domain to understand. This part can be a valuable contribution.",6,
10,Insufficient abstraction,11,N,N,This part in many papers is similar and repeated. There exist many redundancies among existing papers. This is an important problem. Can we summarize them?,5,
11,Unclear definitions and explanations of data,11,N,N,It is needed when data is complicated. ,4,
12,Missing technical details,11,Y,Y,Language or missing certain parts. Sometimes hard to understand.,1,
13,Novel data processing algorithms,11,N,N,I prefer not to frame this as the main contribution. Why submit to VIS if the main contribution is at algorithms.,2,
14,Unclear justifications of algorithms/models,11,Y,N,Not a big problem. Many algorithms are capable.,2,
15,Missing details and insufficient explanations of visual designs,11,Y,Y,Many reasons: Many designs are too complicated. Due to limited page size. Due to writing issues.,5,
16,Unclear novelty of visual design,11,Y,Y,"Unless this is the first application or there is new knowledge in other parts. We need to weigh against other factors. If there is nothing novel, it looks like software engineering.",5,
17,Unclear rationale and insufficient justifications of visual designs,11,N,Y,Compare different methods and analyze.,6,
18,Problematic visual designs,11,Y,N,,4,
19,Missing discussions about alternative designs,11,N,Y,Novelty designs needed to be compared with existing ones. Such comparison can show the efforts and methodological soundness during the design progress. This can also inform and educate junior researchers. Our field has many emprical findings but not a solid guideline/theory except for colors. Other design factors do not have such guidelines. ,4,
20,Over-complicated visual designs,11,Y,N,"This is a tradeoff between complexity and novelty. It is good to be simple and useful, which, however, can be ""lacking novelty"".
Our fields need to embrace actual usability and attract impacts from other domains. Other research domains use standard charts more frequently.
Complex VA systems are less impactful unless being open-sourced and used by other domains.",5,
21,Lacking workflow overviews or system demonstration,11,N,N,Minor problem.,7,
22,Uncertainty/stability/sensibility,11,Y,N,"A minor problem, e.g., TSNE is not deterministic. I do not pay great attention to this problem because it is known.",2,
23,Scalability,11,Y,Y,"Somehow this becomes a common problem. This problem is hard to solve, e.g., limited by screen sizes. Worthy mentioning. ",4,
24,Generalizability,11,Y,N,This is a bonus but not a must because the tool is customized for the domain problem.,6,
25,Usability,11,Y,Y,At least it shoud discuss the learning curve if the system is too complex.,6,
26,Evaluations are incomplete and insufficient,11,Y,Y,"We need a better standard. Refer to an HCI paper about ""how many participants are enough"". We need more discussions like this. My criteria are case studies + expert interviews, combined with my judgment. We cannot increase the bar of evaluation infinitely since the development of VA systems already needs many efforts. Asking for more efforts on evaluations might hinder the development of our field.",5,
27,Unclear evaluation methods and protocols,11,Y,Y,Important. To provide more details.,3,
28,Lacking realism,11,N,N,Must work with real users. Use both toy and real datasets.,3,
29,Lacking comparison with baseline approaches,11,Y,N,This can be infeasible and impossible. Cannot set fair tasks for comparing VA systems. I think we should not ask for comparison for VA systems.,2,
30,Lacking quantitative evaluation and feedback,11,Y,N,"Some parts of the VA systems can be quantified, such as novel algorithms. For VA systems, it is hard to do quantification. Our domain might explore new methods such as analyzing mouse movements.",4,
31,Insights are suspicious or not new,11,Y,N,"How to assess case studies? 
- Interestingness (if the case is out of the expectation) - this might be objective. Insights are an over-loaded term. Judging insights can also be objective. 
- If the visualization can reflect the insights, i.e., whether the patterns are easy to tell from the visualization.",4,
32,Unclear interpretation of expert feedback,11,Y,N,Focus more on the limitation raised by experts. Do not fully trust the positive comments by experts.,5,
33,Insufficient discussions on limitations and implications,11,Y,N,"This is important in HCI but seems a minor issue in VA systems. The most important aspect of VA systems is the benefits to the users and to the domain problem. 
Implications are bonus but not necessary.",1,
34,Various presentation issues,11,Y,Y,Minor issues.,1,
35,Ethics,11,Y,N,"If the VA system concerns privacy or ethics, it is a severe problem.",6,
36,Open-source,11,N,Y,"Suggest open-sourcing, which can promote the impact of our field. We should encourage this trend.",2,
1,Lacking arcs of coherence and consistency,12,N,Y,The claimed contributions should match up with the results.,2,
2,Unclear relevance to visual analytics,12,Y,Y,It needs to clarify why VA is necessary. Automated methods do not work well. That is why we need VA to assist humans.,7,
3,Unclear/over-claimed contributions,12,N,Y,"If data has a fixed pattern (e.g., seasonal time series) but claim to general to time series. This needs to be re-visited after writing the paper.",1,
4,Unclear contributions to the visualization community,12,N,N,"Many VA systems are developed to support other domains. If the domain needs the VA system, then the VA system is valuable. Both contribute to the domain problem & viz. I worked on medical data and worked with experts. We claim and prove that we generalize on event sequence and discuss the generalization.",4,
5,Unclear novelty of VA systems,12,Y,Y,"Usually, I expect either new domain problems or new VA systems. Sometimes it is necessary to compare with existing VA systems (if any).",7,
6,Missing related work,12,Y,Y,Common issue. It depends on the reviewers.,1,
7,Inadequate discussion about related work,12,Y,Y,Very common issue. Some papers just enumerate without discussing the differences.,1,
8,Unclear domain experts or target users,12,N,Y,"It is often unclear who the users are for some XAI work, e.g., ML experts or novice users.",6,
9,Unclear methodology and methods for domain problem abstraction,12,N,Y,"It needs to include design requirements, quote experts' data, and discuss their needs. Some papers list the needs without explaining, making me wonder why experts have those needs.",6,
10,Insufficient abstraction to visualization tasks,12,N,N,"I tried to work on general data types. Insufficient abstraction can only make a contribution to a specific domain, being ad-hoc.",5,
11,Unclear definitions and explanations of data,12,Y,Y,Readers might not understand the background. Many papers describe the data type. A minor issue.,4,
12,Missing technical details,12,Y,Y,It is common to find some techniques unclear as a reader.,2,
13,Novel data processing algorithms,12,Y,N,"Some papers contribute to both data mining algorithms and VA systems, which are too dense and can be split into two papers. Too many novelties make it hard to evaluate throughouly.",5,
14,Unclear justifications of algorithms/models,12,N,Y,VA systems need to use models that match with the data.,2,
15,Missing details and insufficient explanations of visual designs,12,N,Y,"Fundamental skill. Sometimes authors explain encodings in the video, but I think it is better to explain in the main text as well.",2,
16,Unclear novelty of visual design,12,Y,Y,"Very common. I think it is better to use existing visualization designs in VA, which are easier to understand.",2,
17,Unclear rationale and insufficient justifications of visual designs,12,Y,Y,"Very common. A problem. VA is a design problem. Without justification, it is hard to convince.",2,
18,Problematic visual designs,12,N,Y,"Cannot violate vis design rules (e.g., categorical data -> continous encoding). ",2,
19,Missing discussions about alternative designs,12,Y,Y,"For novel visualization designs, it is necessary to discuss alternative designs. Also, it is important to discuss how the design involves during the iterative design progress. I raise this problem when I can come up with other designs during the review process.",2,
20,Over-complicated visual designs,12,Y,N,"My experts are medical experts without much viz knowledge. I usually acknowledge that this is a limitation. This can not be avoided due to the data and task complexity. There might be a learning curve, but after learning that, the system can be useful. Do not need to focus on the whole complex view.
I think more and more VA papers tend to use common visualization because complex views are not good in real applications. In the early years, people think complexity is a novelty. Now, more and more people do not appreciate complexity. Ordinary people cannot understand complex viz. 
I think we are at the point for chances. Previously we are researching from simple designs to complex designs. Now it is time to reflect and simplify the complex designs. ",6,
21,Lacking workflow overviews or system demonstration,12,N,N,Must include the workflow. It can be helpful to describle workflows in usage scenarios.,6,
22,Uncertainty/stability/sensibility,12,N,N,This is an ML problem. Hard to avoid in VA systems.,5,
23,Scalability,12,Y,Y,Common issue. To discuss. Human perception is limited.,3,
24,Generalizability,12,N,Y,"Domain-specific applications need to be discussed. It determines the scope & breadth. If a system cannot generalize, the values are relatively limited.",2,
25,Usability,12,Y,Y,Too complex to be used by novice users. ,6,Related to complexity.
26,Evaluations are incomplete and insufficient,12,N,Y,It depends on the claimed novelty. ,2,
27,Unclear evaluation methods and protocols,12,N,Y,"HCI community cares about the evaluation methods, especially user study and workshops. They even code the interview transcript.",1,
28,"Lacking realism (e.g., real-world users or real-world datasets)",12,Y,N,It depends on the problem. Use real data and real experts.,5,
29,Lacking comparison with baseline approaches,12,N,Y,"If working on a new problem, there can be no baseline. I raise this concern when I can come up with a baseline.",2,
30,Lacking quantitative evaluation and feedback,12,N,Y,Not a critical problem. VA systems are systems. Qualitative evaluation is suitable. Quantitative => algorithms.,6,
31,Insights are suspicious or not new,12,N,N,"A case study: 1) real data + real users. 2) Insights must be valuable to the domain users, e.g., I cannot find the insights with previous methods.",3,
32,Unclear interpretation of expert feedback,12,N,N,"Discuss the feedback in terms of multiple key points. To be specific. Find the commonness. Useful => ""but..."" => limitations/future work.",6,
33,Insufficient discussions on limitations and implications,12,Y,Y,Implications are appreciated in the HCI field. How does this work contribute to the whole domain? The feedback for the system needs to be abstracted to provide implications that are general to other domains. How does the feedback connect or conflict with prior work in the domain?,2,
34,Various presentation issues,12,Y,Y,,1,
35,Ethics,12,N,N,It depends on the dataset.,2,
36,Open-source,12,N,N,Good to have but not a reason for rejection.,6,
1,Lacking arcs of coherence and consistency,13,Y,Y,,,
2,Unclear relevance to visual analytics,13,N,N,,,
3,Unclear/over-claimed contributions,13,Y,Y,Sometimes this is writing issues.,,
4,Unclear contributions to the visualization community,13,Y,N,"Many people in the industry think of VA as front-end development. Visualization and VA should work with the algorithms, e.g., improve the algorithms.",,
5,Unclear novelty of VA systems,13,N,Y,This is not a must. An important problem is how to solve the problem by combinations of existing viz designs.,,
6,Missing related work,13,Y,Y,minor issue,,
7,Inadequate discussion about related work,13,Y,Y,minor issue,,
8,Unclear domain experts or target users,13,Y,N,Needs to define it clear.,,
9,Unclear methodology and methods for problem abstraction,13,Y,N,,,
10,Insufficient abstraction,13,N,Y,"We need formal theories to guide abstraction, for example, using some math notations. We need to develop a formal language to describe existing ones that are too case-by-case.",,
11,Unclear definitions and explanations of data,13,N,Y,,,
12,Missing technical details,13,Y,Y,Common problem.,,
13,Novel data processing algorithms,13,Y,Y,If the algorithms look like a contribution; why not split into two works.,,
14,Unclear justifications of algorithms/models,13,Y,Y,Many existing algorithms => why use this? The WHY question is more important than the HOW question.,,
15,Missing details and insufficient explanations of visual designs,13,Y,Y,The visualization design can be too complex to describe clearly. It often needs to add videos but still can be insufficient.,,
16,Unclear novelty of visual design,13,N,Y,"In the early years, I used to raise this concern. But now i think it is not critical. I feel there is also a trend in the community not to emphasize novel designs too much. ",,
17,Unclear rationale and insufficient justifications of visual designs,13,N,Y,"If the design is novel, it needs to provide the rationale.",,
18,Problematic visual designs,13,N,N,Rare problem.,,
19,Missing discussions about alternative designs,13,N,Y,,,Related to novelty.
20,Over-complicated visual designs,13,Y,N,I do not appreciate over-complicated designs. Sometimes there is a tradeoff between novelties and over-complicated. ,,
21,Lacking workflow overviews or system demonstration,13,N,Y,It needs to have a system overview.,,
22,Uncertainty/stability/sensibility,13,Y,N,Minor.,,
23,Scalability,13,Y,Y,"This is a fundamental problem. The industry dataset is very large, which is a big research problem.",,
24,Generalizability,13,Y,Y,This is a fundamental problem for VA systems. Hard to be generic for domain-specific solutions. Maybe we can discuss the potentials for how to apply the VA systems to other scenarios.,,
25,Usability,13,Y,N,,,Related to evaluation.
26,Evaluations are incomplete and insufficient,13,Y,Y,This is a fundmantal problem. ,,
27,Unclear evaluation methods and protocols,13,Y,Y,"The page lengths often limit it, so I sometimes move it to supplemental material. This is particularly important for user studies (for example, between/within; controlled variables)",,
28,Lacking realism,13,Y,Y,Data issues => any public dataset?,,
29,Lacking comparison with baseline approaches,13,Y,Y,Hard to address. It cannot directly compare under many cases. A qualitative comparison might be a solution but needs a more solid methodology.,,
30,Lacking quantitative evaluation and feedback,13,N,Y,"Hard to quantify except for algorithms. How to quantify VA systems? I think this is a significant research problem. We might get inspired form HCI approaches to ""quantify"" qualitative interview data.",,
31,Insights are suspicious or not new,13,Y,Y,Are there any particular findings from case studies that are previously unknown?,,
32,Unclear interpretation of expert feedback,13,Y,Y,Need to provide critical insights.,,
33,Insufficient discussions on limitations and implications,13,Y,Y,,,
34,Various presentation issues,13,Y,Y,,,
35,Ethics,13,N,N,,,
36,Open-source,13,Y,Y,"I mainly ask for the algorithms. This is a trend, especially by researchers outside our field. Making the code open-sourced can be time-consuming.",,
1,Lacking arcs of coherence and consistency,14,N,Y,This is kinda a basic problem.,6,
2,Unclear relevance to visual analytics,14,N,N,Why use VA? Some reasons: if the data is too large and the definition of criteira is unclear. Need to keep human in the loop to make deciisons. Involve domain/human knowledge to use VA systems.,6,
3,Unclear/over-claimed contributions,14,N,N,The contributions for VA systems is the system.,6,
4,Unclear contributions to the visualization community,14,Y,Y,"What are contributions to VA? From my point, if the problem can generalize, e.g., to other data types or the design. The visual design has high-level novelty or generalizability, e.g., layout algorithms. If the research focuses only on domain problems and fails to connect with prior viz work, I might not determine the contributions. It is a contribution to applying VA approaches to other domains, which is relatively minor. We need to abstract the data type to generalize the VA system.",6,
5,Unclear novelty of VA systems,14,Y,Y,"Some visual designs are too basic, e.g., word clouds and bar charts. Although it solves the problem, it does not generate new knowledge. Readers can not learn anything.",7,Related to the contributions.
6,Missing related work,14,N,Y,,1,
7,Inadequate discussion about related work,14,Y,Y,"The contributions depend on the difference between previous work. It needs to discuss why the existing visualization design, data, tasks cannot apply to the domain.",1,Related to novelties.
8,Unclear domain experts or target users,14,N,Y,"In VA systems, the domain experts are often deterministic.",5,
9,Unclear methodology and methods for domain problem abstraction,14,Y,Y,"This part is often neglected by VA researchers. We do not have many theoretical bases and rigorous approaches to do so. Authors only write this information briefly without saying the details, such as why experts have these needs. We can refer to HCI approaches, especially qualitative methods, e.g., how to conduct formal interviews. VA systems tend not to report this rigorously.",7,
10,Insufficient abstraction to visualization tasks,14,N,Y,"Without generalization, the VA system looks specific and hard to understand the novelty.",7,
11,Unclear definitions and explanations of data,14,N,N,,7,
12,Missing technical details,14,Y,Y,I checked magic numbers. But this might be a minor problem.,4,
13,Novel data processing algorithms,14,N,N,"If the algorithms are specific to the domain, it is not a strong contribution. The core contribution should be the system, and the algorithm is only part of it. If the algorithms can generalize to other scenarios, it might be a solid contribution.",6,
14,Unclear justifications of algorithms/models,14,N,Y,Why use this algorithm? How many alternatives are them? Why should I use this? ,5,Related to literature sruvey.
15,Missing details and insufficient explanations of visual designs,14,N,Y,Cases are unclear. The cases do not link with the visualization.,5,
16,Unclear novelty of visual design,14,Y,Y,Many systems do not have novel visual designs. I do not require novel designs. Novel designs are for new data/tasks. Being looking new is not novel. It is important that the design can solve the problem. Why can existing ones not work?,5,
17,Unclear rationale and insufficient justifications of visual designs,14,Y,Y,Why design is this way?,5,
18,Problematic visual designs,14,Y,Y,,5,
19,Missing discussions about alternative designs,14,N,Y,"I sometimes do not write. In HCI, we do not need to discuss. Alternatives are one way to give rationales.",5,Related to ratioanle.
20,Over-complicated visual designs,14,Y,N,"I tend not to use complex designs. But sometimes, it can be complex due to the problem's complexity. Or domain experts or novice users (without vis knowledge) find them complex. It can also be because of the dense data. Systems need time to learn; learning curves are normal.",7,
21,Lacking workflow overviews or system demonstration,14,Y,N,VA researchers know the workflow and get used to it. Other people might not understand the procedure.,7,
22,Uncertainty/stability/sensibility,14,N,N,I paid less attention to this.,7,
23,Scalability,14,Y,Y,"If changing another large data, can the VA system still work?",5,23/24 are related
24,Generalizability,14,Y,Y,"It depends on the contributions. I expect the system to generalize to certain levels, e.g., other scenarios. What is the data in different scenarios? How to generalize? What can generalize - the whole system or components, the workflow or design? Those are good questions to think about.",5,Related to contributions.
25,Usability,14,Y,N,,7,Related to complexity.
26,Evaluations are incomplete and insufficient,14,Y,Y,"Common raised by other domains. Many people wonder how to evaluate VA systems. A tough problem. This is a known problem in our field. Many parts are hard to evaluate, e.g., task abstraction. Evaluation is also related to how details are described. In ML, they focus on reproducibility, looking solid. We often miss details, and readers do not know how to reproduce the results and thus do not know whether this is solid or not. 

For case studies and interviews, they are useful evaluation methods. But they need to be rigorous. Like qualitative studies in HCI, there are solid procedures to follow. ",2,
27,Unclear evaluation methods and protocols,14,N,N,Many people do not focus on this part.,3,
28,Lacking realism,14,N,N,,3,
29,Lacking comparison with baseline approaches,14,N,N,VA systems are customized. There are often no fair baselines for the same purpose. I often have to create a baseline. ,3,
30,Lacking quantitative evaluation and feedback,14,N,N,"What are the criteria - more insights or efficiency? I have mixed opinions. Qualitative evaluation is essential. Sometimes it is hard to quantify. It also depends on the scenario. But our field generally lacks quantitative evaluation. However, we do not do well enough for qualitative evaluation, for example, many case studies are not solid ones. How can we promote quantitative evaluation? We can explore new evaluation methods. ",6,Related to usability.
31,Insights are suspicious or not new,14,N,Y,"Sometimes I do not understand how the insights are derived from the visualization. The text does not match the figure or because of logic errors. The case does not use the main view. I think some cases in my papers can be problematic, however we do not have a systematic method to check them.",3,
32,Unclear interpretation of expert feedback,14,Y,Y,Some feedback is cherry-picked. This is an important question in HCI research.,7,
33,Insufficient discussions on limitations and implications,14,N,N,Discuss implications related to generalization and scalability.,7,
34,Various presentation issues,14,Y,Y,,1,
35,Ethics,14,N,N,Rarely discussed.,2,
36,Open-source,14,N,N,The CS filed is promoting open source. Otherwise it is hard to build on. ,1,
1,Lacking arcs of coherence and consistency,15,Y,N,,1,
2,Unclear relevance to visual analytics,15,N,N,Authors should clearly discuss why existing methods are insufficient and why VA systems can help.,7,
3,Unclear/over-claimed contributions,15,Y,Y,Writing issues.,1,
4,Unclear contributions to the visualization community,15,Y,N,"For VA systems, contributions might be new domain OR new algorithm OR new visual design OR new system OR evaluation. People sometimes argue that the framework is the contribution. But I feel the framework sometimes looks like engineering, and I cannot learn much knowledge from it.",7,
5,Unclear novelty of VA systems,15,N,Y,,7,
6,Missing related work,15,Y,Y,"How to define related work? By domain + By data type. 
The current VA systems are scattered => need a database by different perspectives, e.g., by application, by data type, by technique.",1,
7,Inadequate discussion about related work,15,N,Y,There should be discussions about the limitations and how the proposed system addresses limitations.,1,
8,Unclear domain experts or target users,15,N,Y,Writing issues.,4,
9,Unclear methodology and methods for problem abstraction,15,Y,Y,There are some good practices to follow: domain's workflow -> gaps -> interview or other method -> summarize the problems -> iterative development -> summarize system requirements.,1,
10,Insufficient abstraction to visualization tasks,15,N,N,"There are inconsistent definitions of goals, requirements, and tasks. There lacks a standard. We might develop a taxonomy or common language.",7,
11,Unclear definitions and explanations of data,15,N,Y,To provide sample in supplemental material.,4,
12,Missing technical details,15,Y,N,Readers might not understand everything. I suggest to explain algorithms in the supplemental material.,1,
13,Novel data processing algorithms,15,N,N,This is not a must.,4,
14,Unclear justifications of algorithms/models,15,Y,Y,Authors should discuss the reasons. ,1,
15,Missing details and insufficient explanations of visual designs,15,N,N,Are they any guidelines for explaining complex visualizations? Adding figures could be very helpful.,7,
16,Unclear novelty of visual design,15,N,N,This is not a must.,7,Related to related work.
17,Unclear rationale and insufficient justifications of visual designs,15,Y,Y,"The current ways of justification are subjective; for example, the experts chose it. I wonder can we have more systematic methods or derive general knowledge from existing justifications.",7,
18,Problematic visual designs,15,Y,N,,7,
19,Missing discussions about alternative designs,15,Y,Y,,7,
20,Over-complicated visual designs,15,Y,N,Some VA systems have too many views or panels. I think we should study how to simplify them into lean ones.,7,
21,Lacking workflow overviews or system demonstration,15,Y,N,,1,
22,Uncertainty/stability/sensibility,15,N,N,This depends on the problem itself.,1,
23,Scalability,15,N,Y,Discuss this problem or conduct experiments with different data sizes.,1,
24,Generalizability,15,Y,Y,"We can discuss or prove this problem. There are many aspects to generalize, for example, to different domains or different data types.",4,
25,Usability,15,Y,Y,,1,
26,Evaluations are incomplete and insufficient,15,Y,N,We need to build standards about what evaluation methods are sufficient.,1,
27,Unclear evaluation methods and protocols,15,Y,Y,Writing issues.,1,
28,Lacking realism,15,N,N,It would be interesting to study how experts' behavior changes over time when they become more and more familiar with the system.,1,
29,Lacking comparison with baselines,15,N,Y,User studies are not very helpful because there often lack baselines.,1,
30,Lacking quantitative evaluation and feedback,15,N,N,Current evaluation methods are somehow flexible. We need a standard.,1,
31,Insights are suspicious or not new,15,N,N,This is sometimes a writing issue. The insights are just reported without experts' reasoning - why are they important.,1,
32,Unclear interpretation of expert feedback,15,N,N,Add a critical discussion about the pros and cons.,4,
33,Insufficient discussions on limitations and implications,15,Y,N,,1,
34,Various presentation issues,15,Y,Y,,1,
35,Ethics,15,N,N,,1,
36,Open-source,15,N,N,There might need some standards for open sourcing visualization programs. What are the input and output formats?,1,
1,Lacking arcs of coherence and consistency,16,N,N,,,
2,Unclear relevance to visual analytics,16,N,Y,,,
3,Unclear/over-claimed contributions,16,Y,Y,,,
4,Unclear contributions to the visualization community,16,N,Y,"The fundamental problem is whether the abstraction is sufficient. If the data and tasks are abstracted well, the systems could apply to many related applications, which is a valid contribution. Otherwise, if the system cannot generalize and is limited to the problem itself, the contributions are unclear to the visualization community.",,
5,Unclear novelty of VA systems,16,Y,Y,"I usually consider the paper has sufficent contribution if it has novelty in any part of the visualization system/visual analytics pipeline. e.g. data processing, user interaction, visual design, user study experiment design and etc. the novelty is not limited to visual design itself",,
6,Missing related work,16,Y,Y,minor,,
7,Inadequate discussion about related work,16,N,Y,more important,,
8,Unclear domain experts or target users,16,N,N,"all the visualization prototype systems faces such problem, we might have some sort of user profile in mind, in practice it is more complicated",,
9,Unclear methodology and methods for problem abstraction,16,N,Y,,,
10,Insufficient abstraction,16,N,N,Design study paper usually are more tailored to a specific application. I generally would prefer papers that provides a good abstraction of the data to make the system/algorithm generalizable to other applications.,,
11,Unclear definitions and explanations of data,16,N,Y,minor  paper writing issue,,
12,Missing technical details,16,Y,Y,,,
